"Filename","Measurement","flux_co2","flux_ch4","flux_h2o","Avg_Temp","CO2_r2","CH4_r2","H2O_r2","CO2_p","CH4_p","H2O_p"
"data/gga25Jun2014_f00012.csv","Measurement1",0.0692922914205376,7.1861985998234e-06,1.70369082792039,302.455595934959,0.99,0.89,0.88,2.76212175463128e-129,1.38338380835549e-322,1.04856311351829e-165
"data/gga25Jun2014_f00012.csv","Measurement2",0.174611911172842,4.48790267935586e-06,3.8964450830401,304.771359793814,0.99,0.24,0.91,4.96143592736813e-79,1.01098415724224e-256,3.18990570131496e-110
"data/gga25Jun2014_f00012.csv","Measurement3",0.149431063693221,8.11439620769944e-07,3.64260476158849,306.27613030303,0.99,0.04,0.85,8.7005839137353e-84,1.09879491983585e-296,5.88234383831286e-113
"data/gga25Jun2014_f00012.csv","Measurement4",0.148505088898904,-4.36741894877632e-06,3.87135052779136,307.095701492537,1,0.12,0.92,8.15438977013132e-67,9.75594737282911e-182,1.73455800993855e-84
"data/gga25Jun2014_f00012.csv","Measurement5",0.163072564228045,1.18873676283964e-06,2.66809247994811,307.615369791667,1,0.09,0.9,5.41719469557439e-81,2.25788415319369e-289,1.36074554306113e-121
"data/gga25Jun2014_f00012.csv","Measurement6",0.119975786922761,1.60775836452752e-06,2.34757240676947,308.181107291667,1,0.19,0.95,1.59801148369482e-90,5.70336389346583e-292,2.17109750849857e-126
"data/gga25Jun2014_f00012.csv","Measurement7",0.220604989304055,1.08279325355273e-06,3.73936816560379,309.146318947368,1,0.2,0.85,2.4741669518394e-71,4.22011311923003e-306,1.76296441523263e-107
"data/gga25Jun2014_f00012.csv","Measurement8",0.0711408541488747,-3.16121495397146e-05,2.91622600529183,309.646575257732,0.99,0.13,0.9,7.85418717106328e-109,7.83814154386878e-165,1.0161649344692e-117
"data/gga25Jun2014_f00012.csv","Measurement9",0.162110697366974,2.62533279753514e-06,4.01359459876122,309.910527368421,1,0.59,0.92,3.16229223998701e-79,2.98019170731783e-291,3.34132526366619e-105
"data/gga25Jun2014_f00012.csv","Measurement10",0.165614810521894,-4.01640168926528e-06,3.41288607898765,309.965196907216,1,0.12,0.91,1.94086899768289e-80,4.63536737724749e-246,4.42985645729374e-113
"data/gga25Jun2014_f00012.csv","Measurement11",0.0687110481320001,7.02838273935806e-06,3.80488843102743,310.019902083333,1,0.34,0.91,3.10026034187614e-110,1.00118650506e-241,1.33835020673617e-108
"data/gga25Jun2014_f00012.csv","Measurement12",0.181582345531981,2.22896902672668e-06,3.93295127311074,310.60745,1,0.28,0.88,1.00460482237998e-76,3.21115467564175e-288,7.93908669773767e-108
"data/gga25Jun2014_f00012.csv","Measurement13",0.130599374176101,-2.61409830100342e-06,5.18297768662613,311.322413541667,1,0.3,0.92,4.06546934766407e-87,9.96276874951724e-283,3.74581016624827e-98
"data/gga25Jun2014_f00012.csv","Measurement14",0.170687525723109,2.70881328854801e-06,3.51155804122352,311.957894354839,1,0.84,0.92,9.44686835309975e-93,0,2.78672220009578e-132
"data/gga25Jun2014_f00012.csv","Measurement15",0.185712920405617,2.62839906293426e-06,5.01022150483696,313.704835353535,1,0.11,0.94,6.4013539442153e-78,2.15164466857801e-265,8.97816083570881e-101
"data/gga25Jun2014_f00012.csv","Measurement16",0.0763402614721222,2.29690465114451e-06,2.81562226237066,313.8365625,0.99,0.53,0.93,2.55822068291275e-104,1.20169511683527e-296,1.0891258524231e-118
"data/gga25Jun2014_f00012.csv","Measurement17",0.127586886855431,-6.70491186406826e-07,4.00647397800078,313.750765,1,0.01,0.97,7.36090493812352e-90,1.16496285217822e-278,2.8388817264352e-108
"data/gga25Jun2014_f00012.csv","Measurement18",0.103447249249014,-1.93299707787086e-05,3.63945135299829,314.02236122449,1,0.16,0.93,1.17813442880402e-97,2.34251960819237e-189,3.32738378517531e-112
"data/gga25Jun2014_f00013.csv","Measurement1",0.0692922914205376,7.1861985998234e-06,1.70369082792039,302.455595934959,0.99,0.89,0.88,2.76212175463128e-129,1.38338380835549e-322,1.04856311351829e-165
"data/gga25Jun2014_f00013.csv","Measurement2",0.174611911172842,4.48790267935586e-06,3.8964450830401,304.771359793814,0.99,0.24,0.91,4.96143592736813e-79,1.01098415724224e-256,3.18990570131496e-110
"data/gga25Jun2014_f00013.csv","Measurement3",0.149431063693221,8.11439620769944e-07,3.64260476158849,306.27613030303,0.99,0.04,0.85,8.7005839137353e-84,1.09879491983585e-296,5.88234383831286e-113
"data/gga25Jun2014_f00013.csv","Measurement4",0.148505088898904,-4.36741894877632e-06,3.87135052779136,307.095701492537,1,0.12,0.92,8.15438977013132e-67,9.75594737282911e-182,1.73455800993855e-84
"data/gga25Jun2014_f00013.csv","Measurement5",0.163072564228045,1.18873676283964e-06,2.66809247994811,307.615369791667,1,0.09,0.9,5.41719469557439e-81,2.25788415319369e-289,1.36074554306113e-121
"data/gga25Jun2014_f00013.csv","Measurement6",0.119975786922761,1.60775836452752e-06,2.34757240676947,308.181107291667,1,0.19,0.95,1.59801148369482e-90,5.70336389346583e-292,2.17109750849857e-126
"data/gga25Jun2014_f00013.csv","Measurement7",0.220604989304055,1.08279325355273e-06,3.73936816560379,309.146318947368,1,0.2,0.85,2.4741669518394e-71,4.22011311923003e-306,1.76296441523263e-107
"data/gga25Jun2014_f00013.csv","Measurement8",0.0711408541488747,-3.16121495397146e-05,2.91622600529183,309.646575257732,0.99,0.13,0.9,7.85418717106328e-109,7.83814154386878e-165,1.0161649344692e-117
"data/gga25Jun2014_f00013.csv","Measurement9",0.162110697366974,2.62533279753514e-06,4.01359459876122,309.910527368421,1,0.59,0.92,3.16229223998701e-79,2.98019170731783e-291,3.34132526366619e-105
"data/gga25Jun2014_f00013.csv","Measurement10",0.165614810521894,-4.01640168926528e-06,3.41288607898765,309.965196907216,1,0.12,0.91,1.94086899768289e-80,4.63536737724749e-246,4.42985645729374e-113
"data/gga25Jun2014_f00013.csv","Measurement11",0.0687110481320001,7.02838273935806e-06,3.80488843102743,310.019902083333,1,0.34,0.91,3.10026034187614e-110,1.00118650506e-241,1.33835020673617e-108
"data/gga25Jun2014_f00013.csv","Measurement12",0.181582345531981,2.22896902672668e-06,3.93295127311074,310.60745,1,0.28,0.88,1.00460482237998e-76,3.21115467564175e-288,7.93908669773767e-108
"data/gga25Jun2014_f00013.csv","Measurement13",0.130599374176101,-2.61409830100342e-06,5.18297768662613,311.322413541667,1,0.3,0.92,4.06546934766407e-87,9.96276874951724e-283,3.74581016624827e-98
"data/gga25Jun2014_f00013.csv","Measurement14",0.170687525723109,2.70881328854801e-06,3.51155804122352,311.957894354839,1,0.84,0.92,9.44686835309975e-93,0,2.78672220009578e-132
"data/gga25Jun2014_f00013.csv","Measurement15",0.185712920405617,2.62839906293426e-06,5.01022150483696,313.704835353535,1,0.11,0.94,6.4013539442153e-78,2.15164466857801e-265,8.97816083570881e-101
"data/gga25Jun2014_f00013.csv","Measurement16",0.0763402614721222,2.29690465114451e-06,2.81562226237066,313.8365625,0.99,0.53,0.93,2.55822068291275e-104,1.20169511683527e-296,1.0891258524231e-118
"data/gga25Jun2014_f00013.csv","Measurement17",0.127586886855431,-6.70491186406826e-07,4.00647397800078,313.750765,1,0.01,0.97,7.36090493812352e-90,1.16496285217822e-278,2.8388817264352e-108
"data/gga25Jun2014_f00013.csv","Measurement18",0.103447249249014,-1.93299707787086e-05,3.63945135299829,314.02236122449,1,0.16,0.93,1.17813442880402e-97,2.34251960819237e-189,3.32738378517531e-112
"data/gga25Jun2014_f0001.csv","Measurement1",0.0692922914205376,7.1861985998234e-06,1.70369082792039,302.455595934959,0.99,0.89,0.88,2.76212175463128e-129,1.38338380835549e-322,1.04856311351829e-165
"data/gga25Jun2014_f0001.csv","Measurement2",0.174611911172842,4.48790267935586e-06,3.8964450830401,304.771359793814,0.99,0.24,0.91,4.96143592736813e-79,1.01098415724224e-256,3.18990570131496e-110
"data/gga25Jun2014_f0001.csv","Measurement3",0.149431063693221,8.11439620769944e-07,3.64260476158849,306.27613030303,0.99,0.04,0.85,8.7005839137353e-84,1.09879491983585e-296,5.88234383831286e-113
"data/gga25Jun2014_f0001.csv","Measurement4",0.148505088898904,-4.36741894877632e-06,3.87135052779136,307.095701492537,1,0.12,0.92,8.15438977013132e-67,9.75594737282911e-182,1.73455800993855e-84
"data/gga25Jun2014_f0001.csv","Measurement5",0.163072564228045,1.18873676283964e-06,2.66809247994811,307.615369791667,1,0.09,0.9,5.41719469557439e-81,2.25788415319369e-289,1.36074554306113e-121
"data/gga25Jun2014_f0001.csv","Measurement6",0.119975786922761,1.60775836452752e-06,2.34757240676947,308.181107291667,1,0.19,0.95,1.59801148369482e-90,5.70336389346583e-292,2.17109750849857e-126
"data/gga25Jun2014_f0001.csv","Measurement7",0.220604989304055,1.08279325355273e-06,3.73936816560379,309.146318947368,1,0.2,0.85,2.4741669518394e-71,4.22011311923003e-306,1.76296441523263e-107
"data/gga25Jun2014_f0001.csv","Measurement8",0.0711408541488747,-3.16121495397146e-05,2.91622600529183,309.646575257732,0.99,0.13,0.9,7.85418717106328e-109,7.83814154386878e-165,1.0161649344692e-117
"data/gga25Jun2014_f0001.csv","Measurement9",0.162110697366974,2.62533279753514e-06,4.01359459876122,309.910527368421,1,0.59,0.92,3.16229223998701e-79,2.98019170731783e-291,3.34132526366619e-105
"data/gga25Jun2014_f0001.csv","Measurement10",0.165614810521894,-4.01640168926528e-06,3.41288607898765,309.965196907216,1,0.12,0.91,1.94086899768289e-80,4.63536737724749e-246,4.42985645729374e-113
"data/gga25Jun2014_f0001.csv","Measurement11",0.0687110481320001,7.02838273935806e-06,3.80488843102743,310.019902083333,1,0.34,0.91,3.10026034187614e-110,1.00118650506e-241,1.33835020673617e-108
"data/gga25Jun2014_f0001.csv","Measurement12",0.181582345531981,2.22896902672668e-06,3.93295127311074,310.60745,1,0.28,0.88,1.00460482237998e-76,3.21115467564175e-288,7.93908669773767e-108
"data/gga25Jun2014_f0001.csv","Measurement13",0.130599374176101,-2.61409830100342e-06,5.18297768662613,311.322413541667,1,0.3,0.92,4.06546934766407e-87,9.96276874951724e-283,3.74581016624827e-98
"data/gga25Jun2014_f0001.csv","Measurement14",0.170687525723109,2.70881328854801e-06,3.51155804122352,311.957894354839,1,0.84,0.92,9.44686835309975e-93,0,2.78672220009578e-132
"data/gga25Jun2014_f0001.csv","Measurement15",0.185712920405617,2.62839906293426e-06,5.01022150483696,313.704835353535,1,0.11,0.94,6.4013539442153e-78,2.15164466857801e-265,8.97816083570881e-101
"data/gga25Jun2014_f0001.csv","Measurement16",0.0763402614721222,2.29690465114451e-06,2.81562226237066,313.8365625,0.99,0.53,0.93,2.55822068291275e-104,1.20169511683527e-296,1.0891258524231e-118
"data/gga25Jun2014_f0001.csv","Measurement17",0.127586886855431,-6.70491186406826e-07,4.00647397800078,313.750765,1,0.01,0.97,7.36090493812352e-90,1.16496285217822e-278,2.8388817264352e-108
"data/gga25Jun2014_f0001.csv","Measurement18",0.103447249249014,-1.93299707787086e-05,3.63945135299829,314.02236122449,1,0.16,0.93,1.17813442880402e-97,2.34251960819237e-189,3.32738378517531e-112
